functional_group,year,taxa_id,hw_season,season ,absolute_bio,min_size,max_size,temp_opt
Protists,3,94,Winter,Autumn,9.853179856,7.20E-04,1.93E-03,24.00
Protists,3,89,Winter,Autumn,9.824721607,5.18E-06,1.39E-05,24.00
Protists,3,95,Winter,Autumn,8.193725182,1.93E-03,5.18E-03,24.00
Protists,3,91,Winter,Autumn,7.196401936,3.73E-05,1.00E-04,24.00
Protists,4,81,Winter,Winter,22.53462649,1.93E-03,5.18E-03,20.00
Protists,4,77,Winter,Winter,21.34756656,3.73E-05,1.00E-04,20.00
Protists,4,76,Winter,Winter,18.77665856,1.39E-05,3.73E-05,20.00
Protists,4,80,Winter,Winter,14.66557903,7.20E-04,1.93E-03,20.00
Protists,4,82,Winter,Winter,10.47181961,5.18E-03,1.39E-02,20.00
Protists,4,82,Winter,Spring,11.31094685,5.18E-03,1.39E-02,20.00
Protists,4,81,Winter,Spring,9.075360623,1.93E-03,5.18E-03,20.00
Protists,4,84,Winter,Spring,7.3263384,3.73E-02,1.00E-01,20.00
Protists,4,83,Winter,Spring,7.324755798,1.39E-02,3.73E-02,20.00
Protists,4,80,Winter,Spring,4.918400112,7.20E-04,1.93E-03,20.00
Protists,4,84,Winter,Summer,12.30013002,3.73E-02,1.00E-01,20.00
Protists,4,83,Winter,Summer,8.865309946,1.39E-02,3.73E-02,20.00
Protists,4,82,Winter,Summer,8.821516064,5.18E-03,1.39E-02,20.00
Protists,4,81,Winter,Summer,8.635921225,1.93E-03,5.18E-03,20.00
Protists,4,95,Winter,Summer,7.462804361,1.93E-03,5.18E-03,24.00
Protists,4,90,Winter,Autumn,10.30670944,1.39E-05,3.73E-05,24.00
Protists,4,89,Winter,Autumn,9.968101765,5.18E-06,1.39E-05,24.00
Protists,4,94,Winter,Autumn,9.484958395,7.20E-04,1.93E-03,24.00
Protists,4,95,Winter,Autumn,7.875753729,1.93E-03,5.18E-03,24.00
Protists,4,91,Winter,Autumn,7.082131806,3.73E-05,1.00E-04,24.00
Protists,5,81,Winter,Winter,22.59760325,1.93E-03,5.18E-03,20.00
Protists,5,77,Winter,Winter,21.06138724,3.73E-05,1.00E-04,20.00
Protists,5,76,Winter,Winter,18.33547647,1.39E-05,3.73E-05,20.00
Protists,5,80,Winter,Winter,14.50491204,7.20E-04,1.93E-03,20.00
Protists,5,82,Winter,Winter,12.03820968,5.18E-03,1.39E-02,20.00
Protists,5,82,Winter,Spring,11.25860584,5.18E-03,1.39E-02,20.00
Protists,5,81,Winter,Spring,8.979272412,1.93E-03,5.18E-03,20.00
Protists,5,83,Winter,Spring,7.661707701,1.39E-02,3.73E-02,20.00
Protists,5,84,Winter,Spring,7.542541,3.73E-02,1.00E-01,20.00
Protists,5,80,Winter,Spring,4.971040603,7.20E-04,1.93E-03,20.00
Protists,5,84,Winter,Summer,11.69380483,3.73E-02,1.00E-01,20.00
Protists,5,81,Winter,Summer,8.923121482,1.93E-03,5.18E-03,20.00
Protists,5,82,Winter,Summer,8.894316612,5.18E-03,1.39E-02,20.00
Protists,5,83,Winter,Summer,8.542428077,1.39E-02,3.73E-02,20.00
Protists,5,95,Winter,Summer,7.476472124,1.93E-03,5.18E-03,24.00
Protists,5,90,Winter,Autumn,10.29531946,1.39E-05,3.73E-05,24.00
Protists,5,89,Winter,Autumn,9.999626436,5.18E-06,1.39E-05,24.00
Protists,5,94,Winter,Autumn,9.31967907,7.20E-04,1.93E-03,24.00
Protists,5,95,Winter,Autumn,7.783883689,1.93E-03,5.18E-03,24.00
Protists,5,91,Winter,Autumn,7.03834881,3.73E-05,1.00E-04,24.00
Protists,6,81,Winter,Winter,22.68500465,1.93E-03,5.18E-03,20.00
Protists,6,77,Winter,Winter,20.9881166,3.73E-05,1.00E-04,20.00
Protists,6,76,Winter,Winter,18.20438722,1.39E-05,3.73E-05,20.00
Protists,6,80,Winter,Winter,14.37145736,7.20E-04,1.93E-03,20.00
Protists,6,82,Winter,Winter,12.62767439,5.18E-03,1.39E-02,20.00
Protists,6,82,Winter,Spring,11.24928145,5.18E-03,1.39E-02,20.00
Protists,6,81,Winter,Spring,8.944385522,1.93E-03,5.18E-03,20.00
Protists,6,83,Winter,Spring,7.711073225,1.39E-02,3.73E-02,20.00
Protists,6,84,Winter,Spring,7.5325491,3.73E-02,1.00E-01,20.00
Protists,6,80,Winter,Spring,4.976897007,7.20E-04,1.93E-03,20.00
Protists,6,84,Winter,Summer,11.51670369,3.73E-02,1.00E-01,20.00
Protists,6,81,Winter,Summer,9.06084889,1.93E-03,5.18E-03,20.00
Protists,6,82,Winter,Summer,8.947382743,5.18E-03,1.39E-02,20.00
Protists,6,83,Winter,Summer,8.458382349,1.39E-02,3.73E-02,20.00
Protists,6,95,Winter,Summer,7.457622371,1.93E-03,5.18E-03,24.00
Protists,6,90,Winter,Autumn,10.2986678,1.39E-05,3.73E-05,24.00
Protists,6,89,Winter,Autumn,10.01176255,5.18E-06,1.39E-05,24.00
Protists,6,94,Winter,Autumn,9.257169577,7.20E-04,1.93E-03,24.00
Protists,6,95,Winter,Autumn,7.758190751,1.93E-03,5.18E-03,24.00
Protists,6,91,Winter,Autumn,7.010846261,3.73E-05,1.00E-04,24.00
Protists,1,76,Spring,Winter,19.62788622,1.39E-05,3.73E-05,20.00
Protists,1,77,Spring,Winter,18.31197042,3.73E-05,1.00E-04,20.00
Protists,1,80,Spring,Winter,15.64543332,7.20E-04,1.93E-03,20.00
Protists,1,95,Spring,Winter,15.41921037,1.93E-03,5.18E-03,24.00
Protists,1,75,Spring,Winter,12.54123229,5.18E-06,1.39E-05,20.00
Protists,1,81,Spring,Spring,9.182012405,1.93E-03,5.18E-03,20.00
Protists,1,82,Spring,Spring,8.928246268,5.18E-03,1.39E-02,20.00
Protists,1,84,Spring,Spring,7.162787785,3.73E-02,1.00E-01,20.00
Protists,1,80,Spring,Spring,6.590623006,7.20E-04,1.93E-03,20.00
Protists,1,83,Spring,Spring,6.118520169,1.39E-02,3.73E-02,20.00
Protists,1,95,Spring,Summer,9.72247479,1.93E-03,5.18E-03,24.00
Protists,1,94,Spring,Summer,7.684190329,7.20E-04,1.93E-03,24.00
Protists,1,90,Spring,Summer,5.854990768,1.39E-05,3.73E-05,24.00
Protists,1,81,Spring,Summer,5.75971741,1.93E-03,5.18E-03,20.00
Protists,1,76,Spring,Summer,5.167073243,1.39E-05,3.73E-05,20.00
Protists,1,89,Spring,Autumn,10.68902072,5.18E-06,1.39E-05,24.00
Protists,1,94,Spring,Autumn,9.682231169,7.20E-04,1.93E-03,24.00
Protists,1,88,Spring,Autumn,8.946401215,1.93E-06,5.18E-06,24.00
Protists,1,90,Spring,Autumn,8.824716464,1.39E-05,3.73E-05,24.00
Protists,1,93,Spring,Autumn,7.442906508,2.68E-04,7.20E-04,24.00
Protists,2,81,Spring,Winter,22.34015893,1.93E-03,5.18E-03,20.00
Protists,2,77,Spring,Winter,20.71275357,3.73E-05,1.00E-04,20.00
Protists,2,76,Spring,Winter,19.04558995,1.39E-05,3.73E-05,20.00
Protists,2,80,Spring,Winter,15.62378844,7.20E-04,1.93E-03,20.00
Protists,2,82,Spring,Winter,10.05079491,5.18E-03,1.39E-02,20.00
Protists,2,82,Spring,Spring,10.81705891,5.18E-03,1.39E-02,20.00
Protists,2,81,Spring,Spring,8.906506855,1.93E-03,5.18E-03,20.00
Protists,2,84,Spring,Spring,8.683509814,3.73E-02,1.00E-01,20.00
Protists,2,83,Spring,Spring,6.436026241,1.39E-02,3.73E-02,20.00
Protists,2,80,Spring,Spring,5.239422956,7.20E-04,1.93E-03,20.00
Protists,2,84,Spring,Summer,15.81649991,3.73E-02,1.00E-01,20.00
Protists,2,98,Spring,Summer,11.01085663,3.73E-02,1.00E-01,24.00
Protists,2,83,Spring,Summer,10.27963606,1.39E-02,3.73E-02,20.00
Protists,2,96,Spring,Summer,8.078848072,5.18E-03,1.39E-02,24.00
Protists,2,95,Spring,Summer,7.849011053,1.93E-03,5.18E-03,24.00
Protists,2,90,Spring,Autumn,10.46619854,1.39E-05,3.73E-05,24.00
Protists,2,89,Spring,Autumn,10.29133215,5.18E-06,1.39E-05,24.00
Protists,2,94,Spring,Autumn,9.639875805,7.20E-04,1.93E-03,24.00
Protists,2,95,Spring,Autumn,7.837826768,1.93E-03,5.18E-03,24.00
Protists,2,91,Spring,Autumn,7.038408105,3.73E-05,1.00E-04,24.00
Protists,3,81,Spring,Winter,22.71218593,1.93E-03,5.18E-03,20.00
Protists,3,77,Spring,Winter,21.08119784,3.73E-05,1.00E-04,20.00
Protists,3,76,Spring,Winter,18.2938985,1.39E-05,3.73E-05,20.00
Protists,3,80,Spring,Winter,14.44376344,7.20E-04,1.93E-03,20.00
Protists,3,82,Spring,Winter,12.21381265,5.18E-03,1.39E-02,20.00
Protists,3,82,Spring,Spring,11.22581073,5.18E-03,1.39E-02,20.00
Protists,3,81,Spring,Spring,8.965929312,1.93E-03,5.18E-03,20.00
Protists,3,84,Spring,Spring,7.71498498,3.73E-02,1.00E-01,20.00
Protists,3,83,Spring,Spring,7.148431786,1.39E-02,3.73E-02,20.00
Protists,3,80,Spring,Spring,4.814159708,7.20E-04,1.93E-03,20.00
Protists,3,84,Spring,Summer,12.17778671,3.73E-02,1.00E-01,20.00
Protists,3,82,Spring,Summer,8.696007116,5.18E-03,1.39E-02,20.00
Protists,3,83,Spring,Summer,8.661621977,1.39E-02,3.73E-02,20.00
Protists,3,81,Spring,Summer,8.554384974,1.93E-03,5.18E-03,20.00
Protists,3,95,Spring,Summer,7.70251526,1.93E-03,5.18E-03,24.00
Protists,3,90,Spring,Autumn,10.33804155,1.39E-05,3.73E-05,24.00
Protists,3,89,Spring,Autumn,9.964044879,5.18E-06,1.39E-05,24.00
Protists,3,94,Spring,Autumn,9.396151995,7.20E-04,1.93E-03,24.00
Protists,3,95,Spring,Autumn,7.844241675,1.93E-03,5.18E-03,24.00
Protists,3,91,Spring,Autumn,7.141577688,3.73E-05,1.00E-04,24.00
Protists,4,81,Spring,Winter,22.8783076,1.93E-03,5.18E-03,20.00
Protists,4,77,Spring,Winter,20.99282307,3.73E-05,1.00E-04,20.00
Protists,4,76,Spring,Winter,18.06802767,1.39E-05,3.73E-05,20.00
Protists,4,80,Spring,Winter,14.3531345,7.20E-04,1.93E-03,20.00
Protists,4,82,Spring,Winter,13.05937141,5.18E-03,1.39E-02,20.00
Protists,4,82,Spring,Spring,11.23242583,5.18E-03,1.39E-02,20.00
Protists,4,81,Spring,Spring,8.945685718,1.93E-03,5.18E-03,20.00
Protists,4,83,Spring,Spring,7.625286748,1.39E-02,3.73E-02,20.00
Protists,4,84,Spring,Spring,7.534510005,3.73E-02,1.00E-01,20.00
Protists,4,80,Spring,Spring,4.941496649,7.20E-04,1.93E-03,20.00
Protists,4,84,Spring,Summer,11.4722463,3.73E-02,1.00E-01,20.00
Protists,4,81,Spring,Summer,9.056899965,1.93E-03,5.18E-03,20.00
Protists,4,82,Spring,Summer,8.896452231,5.18E-03,1.39E-02,20.00
Protists,4,83,Spring,Summer,8.403494004,1.39E-02,3.73E-02,20.00
Protists,4,95,Spring,Summer,7.520610044,1.93E-03,5.18E-03,24.00
Protists,4,90,Spring,Autumn,10.29497553,1.39E-05,3.73E-05,24.00
Protists,4,89,Spring,Autumn,9.989607176,5.18E-06,1.39E-05,24.00
Protists,4,94,Spring,Autumn,9.238203136,7.20E-04,1.93E-03,24.00
Protists,4,95,Spring,Autumn,7.766878578,1.93E-03,5.18E-03,24.00
Protists,4,91,Spring,Autumn,7.017668752,3.73E-05,1.00E-04,24.00
Protists,5,81,Spring,Winter,22.82069197,1.93E-03,5.18E-03,20.00
Protists,5,77,Spring,Winter,21.00055774,3.73E-05,1.00E-04,20.00
Protists,5,76,Spring,Winter,18.08702673,1.39E-05,3.73E-05,20.00
Protists,5,80,Spring,Winter,14.3961988,7.20E-04,1.93E-03,20.00
Protists,5,82,Spring,Winter,13.06058595,5.18E-03,1.39E-02,20.00
Protists,5,82,Spring,Spring,11.20425413,5.18E-03,1.39E-02,20.00
Protists,5,81,Spring,Spring,8.894809765,1.93E-03,5.18E-03,20.00
Protists,5,83,Spring,Spring,7.773493439,1.39E-02,3.73E-02,20.00
Protists,5,84,Spring,Spring,7.587502279,3.73E-02,1.00E-01,20.00
Protists,5,80,Spring,Spring,4.96942596,7.20E-04,1.93E-03,20.00
Protists,5,84,Spring,Summer,11.3062407,3.73E-02,1.00E-01,20.00
Protists,5,81,Spring,Summer,9.17009706,1.93E-03,5.18E-03,20.00
Protists,5,82,Spring,Summer,8.94647793,5.18E-03,1.39E-02,20.00
Protists,5,83,Spring,Summer,8.325256494,1.39E-02,3.73E-02,20.00
Protists,5,95,Spring,Summer,7.4793142,1.93E-03,5.18E-03,24.00
Protists,5,90,Spring,Autumn,10.2617448,1.39E-05,3.73E-05,24.00
Protists,5,89,Spring,Autumn,10.0134024,5.18E-06,1.39E-05,24.00
Protists,5,94,Spring,Autumn,9.204444274,7.20E-04,1.93E-03,24.00
Protists,5,95,Spring,Autumn,7.718449167,1.93E-03,5.18E-03,24.00
Protists,5,91,Spring,Autumn,6.947373236,3.73E-05,1.00E-04,24.00
Protists,6,81,Spring,Winter,22.90860219,1.93E-03,5.18E-03,20.00
Protists,6,77,Spring,Winter,21.00411296,3.73E-05,1.00E-04,20.00
Protists,6,76,Spring,Winter,18.06549419,1.39E-05,3.73E-05,20.00
Protists,6,80,Spring,Winter,14.40152871,7.20E-04,1.93E-03,20.00
Protists,6,82,Spring,Winter,13.18169408,5.18E-03,1.39E-02,20.00
Protists,6,82,Spring,Spring,11.23600071,5.18E-03,1.39E-02,20.00
Protists,6,81,Spring,Spring,8.899492094,1.93E-03,5.18E-03,20.00
Protists,6,83,Spring,Spring,7.756597389,1.39E-02,3.73E-02,20.00
Protists,6,84,Spring,Spring,7.549674185,3.73E-02,1.00E-01,20.00
Protists,6,80,Spring,Spring,4.96685982,7.20E-04,1.93E-03,20.00
Protists,6,84,Spring,Summer,11.44403788,3.73E-02,1.00E-01,20.00
Protists,6,81,Spring,Summer,9.156413504,1.93E-03,5.18E-03,20.00
Protists,6,82,Spring,Summer,8.973298467,5.18E-03,1.39E-02,20.00
Protists,6,83,Spring,Summer,8.419597944,1.39E-02,3.73E-02,20.00
Protists,6,95,Spring,Summer,7.462450201,1.93E-03,5.18E-03,24.00
Protists,6,90,Spring,Autumn,10.27416572,1.39E-05,3.73E-05,24.00
Protists,6,89,Spring,Autumn,10.01064754,5.18E-06,1.39E-05,24.00
Protists,6,94,Spring,Autumn,9.207912898,7.20E-04,1.93E-03,24.00
Protists,6,95,Spring,Autumn,7.744942484,1.93E-03,5.18E-03,24.00
Protists,6,91,Spring,Autumn,6.95321083,3.73E-05,1.00E-04,24.00
Protists,1,81,Summer,Winter,28.2428098,1.93E-03,5.18E-03,20.00
Protists,1,82,Summer,Winter,21.77388697,5.18E-03,1.39E-02,20.00
Protists,1,95,Summer,Winter,18.8176146,1.93E-03,5.18E-03,24.00
Protists,1,96,Summer,Winter,18.73402833,5.18E-03,1.39E-02,24.00
Protists,1,80,Summer,Winter,17.35928761,7.20E-04,1.93E-03,20.00
Protists,1,84,Summer,Spring,14.29052239,3.73E-02,1.00E-01,20.00
Protists,1,83,Summer,Spring,14.03022893,1.39E-02,3.73E-02,20.00
Protists,1,82,Summer,Spring,11.71193321,5.18E-03,1.39E-02,20.00
Protists,1,81,Summer,Spring,6.900493343,1.93E-03,5.18E-03,20.00
Protists,1,80,Summer,Spring,4.94834645,7.20E-04,1.93E-03,20.00
Protists,1,98,Summer,Summer,16.53359414,3.73E-02,1.00E-01,24.00
Protists,1,95,Summer,Summer,12.13419184,1.93E-03,5.18E-03,24.00
Protists,1,96,Summer,Summer,11.27846648,5.18E-03,1.39E-02,24.00
Protists,1,84,Summer,Summer,9.798743189,3.73E-02,1.00E-01,20.00
Protists,1,94,Summer,Summer,9.20704486,7.20E-04,1.93E-03,24.00
Protists,1,95,Summer,Autumn,8.940649581,1.93E-03,5.18E-03,24.00
Protists,1,90,Summer,Autumn,7.783200845,1.39E-05,3.73E-05,24.00
Protists,1,104,Summer,Autumn,7.249470717,1.39E-05,3.73E-05,28.00
Protists,1,91,Summer,Autumn,6.423642897,3.73E-05,1.00E-04,24.00
Protists,1,98,Summer,Autumn,6.329934307,3.73E-02,1.00E-01,24.00
Protists,2,77,Summer,Winter,22.44315444,3.73E-05,1.00E-04,20.00
Protists,2,76,Summer,Winter,20.08708482,1.39E-05,3.73E-05,20.00
Protists,2,81,Summer,Winter,19.2559681,1.93E-03,5.18E-03,20.00
Protists,2,80,Summer,Winter,16.18814965,7.20E-04,1.93E-03,20.00
Protists,2,78,Summer,Winter,15.94574281,1.00E-04,2.68E-04,20.00
Protists,2,81,Summer,Spring,8.877347619,1.93E-03,5.18E-03,20.00
Protists,2,82,Summer,Spring,8.093703059,5.18E-03,1.39E-02,20.00
Protists,2,84,Summer,Spring,7.017171464,3.73E-02,1.00E-01,20.00
Protists,2,68,Summer,Spring,6.799315873,5.18E-03,1.39E-02,16.00
Protists,2,80,Summer,Spring,4.201140491,7.20E-04,1.93E-03,20.00
Protists,2,84,Summer,Summer,17.34903912,3.73E-02,1.00E-01,20.00
Protists,2,83,Summer,Summer,9.985680947,1.39E-02,3.73E-02,20.00
Protists,2,98,Summer,Summer,9.042319309,3.73E-02,1.00E-01,24.00
Protists,2,96,Summer,Summer,7.743605168,5.18E-03,1.39E-02,24.00
Protists,2,95,Summer,Summer,7.561387076,1.93E-03,5.18E-03,24.00
Protists,2,95,Summer,Autumn,11.25312683,1.93E-03,5.18E-03,24.00
Protists,2,94,Summer,Autumn,10.69477564,7.20E-04,1.93E-03,24.00
Protists,2,90,Summer,Autumn,10.10478655,1.39E-05,3.73E-05,24.00
Protists,2,91,Summer,Autumn,8.22868991,3.73E-05,1.00E-04,24.00
Protists,2,89,Summer,Autumn,8.084807719,5.18E-06,1.39E-05,24.00
Protists,3,77,Summer,Winter,21.30438599,3.73E-05,1.00E-04,20.00
Protists,3,76,Summer,Winter,20.76802761,1.39E-05,3.73E-05,20.00
Protists,3,81,Summer,Winter,17.29225036,1.93E-03,5.18E-03,20.00
Protists,3,80,Summer,Winter,14.66233463,7.20E-04,1.93E-03,20.00
Protists,3,75,Summer,Winter,12.69418298,5.18E-06,1.39E-05,20.00
Protists,3,82,Summer,Spring,9.593960538,5.18E-03,1.39E-02,20.00
Protists,3,81,Summer,Spring,9.41362993,1.93E-03,5.18E-03,20.00
Protists,3,84,Summer,Spring,8.136231569,3.73E-02,1.00E-01,20.00
Protists,3,68,Summer,Spring,5.602946891,5.18E-03,1.39E-02,16.00
Protists,3,83,Summer,Spring,5.502119948,1.39E-02,3.73E-02,20.00
Protists,3,84,Summer,Summer,18.33096428,3.73E-02,1.00E-01,20.00
Protists,3,83,Summer,Summer,9.667499107,1.39E-02,3.73E-02,20.00
Protists,3,95,Summer,Summer,7.918155362,1.93E-03,5.18E-03,24.00
Protists,3,82,Summer,Summer,7.872956331,5.18E-03,1.39E-02,20.00
Protists,3,96,Summer,Summer,7.38601245,5.18E-03,1.39E-02,24.00
Protists,3,94,Summer,Autumn,11.40190025,7.20E-04,1.93E-03,24.00
Protists,3,90,Summer,Autumn,10.36294048,1.39E-05,3.73E-05,24.00
Protists,3,89,Summer,Autumn,9.196417567,5.18E-06,1.39E-05,24.00
Protists,3,95,Summer,Autumn,8.462523356,1.93E-03,5.18E-03,24.00
Protists,3,91,Summer,Autumn,7.787804322,3.73E-05,1.00E-04,24.00
Protists,4,77,Summer,Winter,21.17073533,3.73E-05,1.00E-04,20.00
Protists,4,81,Summer,Winter,20.60037158,1.93E-03,5.18E-03,20.00
Protists,4,76,Summer,Winter,19.38395911,1.39E-05,3.73E-05,20.00
Protists,4,80,Summer,Winter,14.42725655,7.20E-04,1.93E-03,20.00
Protists,4,75,Summer,Winter,10.87216594,5.18E-06,1.39E-05,20.00
Protists,4,82,Summer,Spring,11.1871816,5.18E-03,1.39E-02,20.00
Protists,4,81,Summer,Spring,9.260854367,1.93E-03,5.18E-03,20.00
Protists,4,84,Summer,Spring,7.474925013,3.73E-02,1.00E-01,20.00
Protists,4,83,Summer,Spring,6.943308258,1.39E-02,3.73E-02,20.00
Protists,4,80,Summer,Spring,4.847383342,7.20E-04,1.93E-03,20.00
Protists,4,84,Summer,Summer,15.47467308,3.73E-02,1.00E-01,20.00
Protists,4,83,Summer,Summer,10.36818536,1.39E-02,3.73E-02,20.00
Protists,4,82,Summer,Summer,8.58491681,5.18E-03,1.39E-02,20.00
Protists,4,95,Summer,Summer,7.861777811,1.93E-03,5.18E-03,24.00
Protists,4,98,Summer,Summer,7.458785364,3.73E-02,1.00E-01,24.00
Protists,4,90,Summer,Autumn,10.48518865,1.39E-05,3.73E-05,24.00
Protists,4,94,Summer,Autumn,10.33849162,7.20E-04,1.93E-03,24.00
Protists,4,89,Summer,Autumn,9.74104272,5.18E-06,1.39E-05,24.00
Protists,4,95,Summer,Autumn,7.935329383,1.93E-03,5.18E-03,24.00
Protists,4,91,Summer,Autumn,7.627348605,3.73E-05,1.00E-04,24.00
Protists,5,81,Summer,Winter,22.08211398,1.93E-03,5.18E-03,20.00
Protists,5,77,Summer,Winter,21.20902265,3.73E-05,1.00E-04,20.00
Protists,5,76,Summer,Winter,18.729662,1.39E-05,3.73E-05,20.00
Protists,5,80,Summer,Winter,14.32478365,7.20E-04,1.93E-03,20.00
Protists,5,82,Summer,Winter,10.53050975,5.18E-03,1.39E-02,20.00
Protists,5,82,Summer,Spring,11.40057025,5.18E-03,1.39E-02,20.00
