functional_group,year,taxa_id,hw_season,season ,absolute_bio,min_size,max_size,temp_opt,,,,,,,
Active Copepod,1,45,Winter,Spring,1.9099379,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,1,47,Winter,Spring,1.85349706,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,1,54,Winter,Spring,0.783860871,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,1,55,Winter,Spring,0.649394714,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,1,46,Winter,Summer,4.873342713,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,1,45,Winter,Summer,3.288265159,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,1,47,Winter,Summer,2.709129059,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,1,54,Winter,Summer,1.512970763,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,1,55,Winter,Summer,1.152136213,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,1,54,Winter,Autumn,4.249473806,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,1,53,Winter,Autumn,3.610514836,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,1,55,Winter,Autumn,2.492330294,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,1,46,Winter,Autumn,1.774898877,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,1,47,Winter,Autumn,1.310609903,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,2,45,Winter,Winter,1.666164889,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,2,44,Winter,Winter,1.183735242,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,2,46,Winter,Winter,0.946679459,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,2,53,Winter,Winter,0.905137871,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,2,54,Winter,Winter,0.821478318,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,2,45,Winter,Spring,0.830852161,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,2,46,Winter,Spring,0.703018865,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,2,44,Winter,Spring,0.276705984,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,2,47,Winter,Spring,0.243046658,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,2,55,Winter,Spring,0.067847697,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,2,46,Winter,Summer,3.845869011,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,2,47,Winter,Summer,2.405502342,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,2,45,Winter,Summer,1.929868504,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,2,55,Winter,Summer,0.768358152,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,2,54,Winter,Summer,0.572162515,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,2,55,Winter,Autumn,4.78899969,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,2,54,Winter,Autumn,4.155793796,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,2,46,Winter,Autumn,2.669172691,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,2,47,Winter,Autumn,2.183578014,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,2,45,Winter,Autumn,1.070791123,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,3,45,Winter,Winter,1.762212604,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,3,44,Winter,Winter,1.634865392,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,3,46,Winter,Winter,1.053949582,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,3,55,Winter,Winter,1.049945788,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,3,54,Winter,Winter,0.762498168,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,3,45,Winter,Spring,0.623979943,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,3,46,Winter,Spring,0.600280627,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,3,44,Winter,Spring,0.269522202,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,3,47,Winter,Spring,0.20621225,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,3,55,Winter,Spring,0.111110308,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,3,46,Winter,Summer,4.22691884,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,3,47,Winter,Summer,2.779271661,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,3,45,Winter,Summer,1.703203084,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,3,55,Winter,Summer,0.701614537,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,3,54,Winter,Summer,0.466558317,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,3,55,Winter,Autumn,4.295058676,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,3,54,Winter,Autumn,3.966435039,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,3,46,Winter,Autumn,2.76379274,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,3,47,Winter,Autumn,2.393729501,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,3,45,Winter,Autumn,1.134559576,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,4,45,Winter,Winter,2.038916014,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,4,44,Winter,Winter,1.719094789,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,4,46,Winter,Winter,1.177152599,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,4,55,Winter,Winter,1.000197444,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,4,54,Winter,Winter,0.776432296,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,4,45,Winter,Spring,0.703910893,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,4,46,Winter,Spring,0.683933472,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,4,47,Winter,Spring,0.263627682,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,4,44,Winter,Spring,0.262139647,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,4,55,Winter,Spring,0.104616351,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,4,46,Winter,Summer,4.348974335,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,4,47,Winter,Summer,2.56345709,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,4,45,Winter,Summer,1.826430099,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,4,55,Winter,Summer,0.609539064,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,4,54,Winter,Summer,0.418383241,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,4,55,Winter,Autumn,4.251315294,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,4,54,Winter,Autumn,3.922381215,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,4,46,Winter,Autumn,2.95526136,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,4,47,Winter,Autumn,2.393154507,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,4,45,Winter,Autumn,1.227981796,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,5,45,Winter,Winter,2.154509538,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,5,44,Winter,Winter,1.547874512,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,5,46,Winter,Winter,1.28858141,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,5,55,Winter,Winter,1.030671183,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,5,54,Winter,Winter,0.78901196,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,5,46,Winter,Spring,0.749448484,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,5,45,Winter,Spring,0.749414667,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,5,47,Winter,Spring,0.290942342,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,5,44,Winter,Spring,0.234634737,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,5,55,Winter,Spring,0.10822958,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,5,46,Winter,Summer,4.468178659,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,5,47,Winter,Summer,2.537963932,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,5,45,Winter,Summer,1.901865093,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,5,55,Winter,Summer,0.573672034,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,5,54,Winter,Summer,0.392181036,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,5,55,Winter,Autumn,4.205983469,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,5,54,Winter,Autumn,3.894632872,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,5,46,Winter,Autumn,3.073582113,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,5,47,Winter,Autumn,2.438475794,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,5,53,Winter,Autumn,1.314102767,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,6,45,Winter,Winter,2.235697948,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,6,44,Winter,Winter,1.381428287,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,6,46,Winter,Winter,1.34966757,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,6,55,Winter,Winter,1.039304655,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,6,54,Winter,Winter,0.800061091,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,6,45,Winter,Spring,0.772116969,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,6,46,Winter,Spring,0.771963684,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,6,47,Winter,Spring,0.302802042,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,6,44,Winter,Spring,0.209048706,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,6,55,Winter,Spring,0.108749093,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,6,46,Winter,Summer,4.496089237,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,6,47,Winter,Summer,2.50231714,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,6,45,Winter,Summer,1.954093532,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,6,55,Winter,Summer,0.551824127,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,6,54,Winter,Summer,0.378166235,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,6,55,Winter,Autumn,4.203197969,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,6,54,Winter,Autumn,3.903956172,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,6,46,Winter,Autumn,3.119596663,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,6,47,Winter,Autumn,2.442349383,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,6,53,Winter,Autumn,1.368200259,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,1,45,Spring,Winter,1.578818018,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,1,46,Spring,Winter,1.179142931,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,1,53,Spring,Winter,1.146733905,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,1,44,Spring,Winter,0.997519016,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,1,54,Spring,Winter,0.910952336,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,1,46,Spring,Spring,2.541917407,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,1,45,Spring,Spring,1.911445545,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,1,47,Spring,Spring,0.800369025,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,1,44,Spring,Spring,0.36922061,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,1,55,Spring,Spring,0.241487159,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,1,46,Spring,Summer,5.921590532,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,1,45,Spring,Summer,3.705586753,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,1,47,Spring,Summer,2.410967628,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,1,54,Spring,Summer,1.510095183,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,1,55,Spring,Summer,0.947408033,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,1,53,Spring,Autumn,4.11628376,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,1,54,Spring,Autumn,3.979251097,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,1,55,Spring,Autumn,1.900778689,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,1,46,Spring,Autumn,1.808892494,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,1,45,Spring,Autumn,1.202718733,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,2,45,Spring,Winter,1.733474251,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,2,44,Spring,Winter,1.507816069,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,2,46,Spring,Winter,1.222427729,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,2,55,Spring,Winter,1.051192492,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,2,54,Spring,Winter,0.768349998,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,2,46,Spring,Spring,0.865378945,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,2,45,Spring,Spring,0.797007737,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,2,47,Spring,Spring,0.263741678,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,2,44,Spring,Spring,0.240051019,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,2,55,Spring,Spring,0.061005257,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,2,46,Spring,Summer,4.62837949,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,2,47,Spring,Summer,2.441343067,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,2,45,Spring,Summer,1.99581105,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,2,55,Spring,Summer,0.609363866,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,2,54,Spring,Summer,0.524429698,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,2,55,Spring,Autumn,4.495837,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,2,54,Spring,Autumn,4.166222073,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,2,46,Spring,Autumn,3.116173601,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,2,47,Spring,Autumn,2.359866229,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,2,45,Spring,Autumn,1.126496407,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,3,45,Spring,Winter,2.066072847,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,3,44,Spring,Winter,1.502185243,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,3,46,Spring,Winter,1.351257849,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,3,55,Spring,Winter,1.045647359,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,3,47,Spring,Winter,0.82686282,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,3,46,Spring,Spring,0.723379802,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,3,45,Spring,Spring,0.631196719,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,3,47,Spring,Spring,0.269385449,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,3,44,Spring,Spring,0.240142678,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,3,55,Spring,Spring,0.110450564,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,3,46,Spring,Summer,4.642476817,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,3,47,Spring,Summer,2.943646909,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,3,45,Spring,Summer,1.653770265,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,3,55,Spring,Summer,0.603789564,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,3,54,Spring,Summer,0.395671122,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,3,55,Spring,Autumn,4.301121002,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,3,54,Spring,Autumn,3.860770579,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,3,46,Spring,Autumn,3.105223042,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,3,47,Spring,Autumn,2.716215871,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,3,53,Spring,Autumn,1.146368364,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,4,45,Spring,Winter,2.208319032,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,4,46,Spring,Winter,1.410086322,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,4,44,Spring,Winter,1.344543768,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,4,55,Spring,Winter,1.051086393,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,4,47,Spring,Winter,0.826739422,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,4,46,Spring,Spring,0.776806264,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,4,45,Spring,Spring,0.715996929,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,4,47,Spring,Spring,0.325582818,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,4,44,Spring,Spring,0.229323696,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,4,55,Spring,Spring,0.109391711,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,4,46,Spring,Summer,4.586816364,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,4,47,Spring,Summer,2.72450966,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,4,45,Spring,Summer,1.820219679,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,4,55,Spring,Summer,0.550022424,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,4,54,Spring,Summer,0.374058949,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,4,55,Spring,Autumn,4.193313935,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,4,54,Spring,Autumn,3.902104175,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,4,46,Spring,Autumn,3.148219335,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,4,47,Spring,Autumn,2.615372291,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,4,53,Spring,Autumn,1.305338675,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,5,45,Spring,Winter,2.279561706,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,5,46,Spring,Winter,1.415579314,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,5,44,Spring,Winter,1.221497622,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,5,55,Spring,Winter,1.040618978,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,5,47,Spring,Winter,0.820675661,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,5,46,Spring,Spring,0.801823774,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,5,45,Spring,Spring,0.762234357,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,5,47,Spring,Spring,0.331501768,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,5,44,Spring,Spring,0.203773584,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,5,55,Spring,Spring,0.110292519,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,5,46,Spring,Summer,4.584485234,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,5,47,Spring,Summer,2.643790064,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,5,45,Spring,Summer,1.934642702,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,5,55,Spring,Summer,0.537596381,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,5,54,Spring,Summer,0.372863748,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,5,55,Spring,Autumn,4.127818465,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,5,54,Spring,Autumn,3.911340602,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,5,46,Spring,Autumn,3.183938825,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,5,47,Spring,Autumn,2.585555922,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,5,53,Spring,Autumn,1.400375337,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,6,45,Spring,Winter,2.30797092,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,6,46,Spring,Winter,1.425767491,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,6,44,Spring,Winter,1.132978767,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,6,55,Spring,Winter,1.044640381,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,6,54,Spring,Winter,0.821388048,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,6,46,Spring,Spring,0.791076804,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,6,45,Spring,Spring,0.778472012,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,6,47,Spring,Spring,0.323825257,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,6,44,Spring,Spring,0.184928921,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,6,55,Spring,Spring,0.108081023,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,6,46,Spring,Summer,4.534700839,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,6,47,Spring,Summer,2.572916285,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,6,45,Spring,Summer,1.974019568,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,6,55,Spring,Summer,0.528698969,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,6,54,Spring,Summer,0.368283455,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,6,55,Spring,Autumn,4.131999622,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,6,54,Spring,Autumn,3.906225284,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,6,46,Spring,Autumn,3.180016209,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,6,47,Spring,Autumn,2.538783125,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,6,53,Spring,Autumn,1.410217147,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,1,55,Summer,Winter,1.986563623,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,1,54,Summer,Winter,1.466565531,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,1,53,Summer,Winter,0.423246506,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,1,62,Summer,Winter,0.277851274,8.77E-01,8.77E+01,28,,,,,,,
Active Copepod,1,46,Summer,Winter,0.212307081,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,1,46,Summer,Spring,0.268365893,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,1,55,Summer,Spring,0.21309616,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,1,45,Summer,Spring,0.123142298,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,1,47,Summer,Spring,0.101175404,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,1,54,Summer,Spring,0.081653158,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,1,46,Summer,Summer,1.322225425,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,1,55,Summer,Summer,1.049541658,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,1,54,Summer,Summer,0.934445516,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,1,45,Summer,Summer,0.716282418,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,1,47,Summer,Summer,0.47868091,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,1,55,Summer,Autumn,5.579235821,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,1,54,Summer,Autumn,3.450738495,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,1,62,Summer,Autumn,2.585106002,8.77E-01,8.77E+01,28,,,,,,,
Active Copepod,1,61,Summer,Autumn,1.378134669,2.60E-01,2.60E+01,28,,,,,,,
Active Copepod,1,63,Summer,Autumn,0.86552107,2.96E+00,2.96E+02,28,,,,,,,
Active Copepod,2,45,Summer,Winter,1.020734665,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,2,55,Summer,Winter,0.92054348,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,2,46,Summer,Winter,0.806523527,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,2,54,Summer,Winter,0.796339911,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,2,53,Summer,Winter,0.310495625,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,2,45,Summer,Spring,0.507136156,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,2,46,Summer,Spring,0.50264129,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,2,55,Summer,Spring,0.097767234,8.77E-01,8.77E+01,24,,,,,,,
